subject,difficulty,run,saMedian,saSEM
dd,1,0,229.18941387825,19.85676816840549
dd,1,1,172.61364720461498,14.173164930803397
dd,1,2,173.505806192076,14.815215211975943
dd,1,3,138.656251095366,11.183838951981434
dd,1,4,139.0139808681385,12.697013350529437
dd,1,5,165.238754854453,14.535772370172838
dd,1,6,136.80694030700653,12.673659348058814
dd,1,7,141.68617964384453,16.83850165336298
dd,1,8,135.727866079061,13.22273406776621
dd,1,9,132.348253797883,12.361964064333328
dd,1,10,176.501132080601,11.231496950713913
dd,1,11,163.297334427676,12.40824848975714
dd,1,12,155.8263037516385,12.564047095409917
dd,1,13,173.5352932441795,11.859653930207154
dd,1,14,145.055948300944,16.10876658984285
dd,1,15,150.4508003941415,24.309365649538723
dd,1,16,154.0456027215945,9.835924194282345
dd,1,17,147.731741812017,15.609614131350314
dd,1,18,127.575662783092,10.477545053513317
dd,1,19,132.425925130343,12.58795229583902
dd,2,0,183.58080134666,14.722192267959375
dd,2,1,145.807998057296,17.112425420118523
dd,2,2,142.31216358807302,11.319288881873705
dd,2,3,203.116416478111,14.437762648823545
dd,2,4,166.4177944783515,13.397240078122868
dd,2,5,159.786187316909,10.56999006615379
dd,2,6,147.6436858995425,14.093448972923863
dd,2,7,134.65840667873601,14.012044750104428
dd,2,8,165.854164268312,14.449438638523977
dd,2,9,172.95546210336948,14.49393433158894
dd,2,10,160.6538672435845,12.963407411945543
dd,2,11,127.5657434786115,12.06972408151286
dd,2,12,155.1511161896855,14.085338324749467
dd,2,13,156.60704243300302,21.189847582323377
dd,2,14,134.81036581473052,12.99525899991326
dd,2,15,138.194467568269,10.987264814747862
dd,2,16,146.539845764245,13.999740819901515
dd,2,17,156.344510158306,10.587012095906038
dd,2,18,116.026621998582,8.875053067039088
dd,2,19,169.912868633935,13.394970323525502
dd,3,0,155.755058404642,12.981761313897833
dd,3,1,128.059003420677,10.343404376928042
dd,3,2,194.6542577059045,13.770742363724848
dd,3,3,156.117210810667,21.61637842595969
dd,3,4,134.90192419812598,16.82257679938476
dd,3,5,193.78002505386797,15.759450169981038
dd,3,6,136.384875027632,12.444467402253794
dd,3,7,130.89142026213005,13.082727550169235
dd,3,8,160.29520092337,12.951414009425287
dd,3,9,151.96286321994,14.02272399134685
dd,3,10,168.45507967678896,21.06734191352609
dd,3,11,208.537935556209,13.750707568961428
dd,3,12,147.787003535009,15.443042219591408
dd,3,13,150.145395021351,21.510263699230578
dd,3,14,151.201236425293,9.318483160681604
dd,3,15,175.858385275279,12.198163737573426
dd,3,16,151.4946753979895,13.422551755634311
dd,3,17,128.29040986523648,15.076260686748185
dd,3,18,144.46526473159,13.245932389802718
dd,3,19,159.245821488237,11.606037405376092
