subject,group,difficulty,ppr,tc,asymptote
BB,1,1,1.79,5.67,234.40
BB,1,2,1.42,14.65,370.93
BB,1,3,1.27,12.81,354.39
BY,1,1,1.71,6.78,165.02
BY,1,2,2.22,34.42,110.70
BY,1,3,1.69,11.14,159.17
CO,1,1,1.13,12.83,180.76
CO,1,2,1.31,2.04,195.12
CO,1,3,1.21,8.01,191.74
ET,1,1,1.95,1.48,236.76
ET,1,2,1.43,1.70,254.12
ET,1,3,1.17,1380000.00,222.64
JZ,1,1,2.62,5.18,125.04
JZ,1,2,1.98,13.53,142.97
JZ,1,3,1.92,26.23,129.70
KP,1,1,1.79,5.28,156.02
KP,1,2,1.61,3.24,163.52
KP,1,3,1.38,2.97,174.82
KY,1,1,2.09,4.08,159.56
KY,1,2,1.34,3.43,174.11
KY,1,3,1.56,5.06,163.73
MB,1,1,1.82,2.28,182.78
MB,1,2,2.33,2.66,195.36
MB,1,3,1.38,2.93,196.31
MG,1,1,2.07,3.71,113.14
MG,1,2,1.88,16.16,162.83
MG,1,3,1.60,33.08,181.24
TP,1,1,1.89,2.73,233.68
TP,1,2,1.03,6.23,396.75
TP,1,3,1.33,45.49,390.11
AH,0,1,1.31,2.85,207.40
AH,0,2,1.12,3.52,221.70
AH,0,3,1.50,2.75,223.25
AJ,0,1,1.40,11.66,167.01
AJ,0,2,2.73,10.24,107.36
AJ,0,3,2.23,15.19,118.52
DD,0,1,1.55,0.88,148.47
DD,0,2,1.54,25.79,109.79
DD,0,3,0.95,31.65,161.49
DL,0,1,2.35,2.34,200.21
DL,0,2,1.64,1.31,248.71
DL,0,3,2.06,1.19,241.07
EZ,0,1,1.31,1.46,187.00
EZ,0,2,0.97,-41528,197.00
EZ,0,3,1.58,1.88,177.82
IT,0,1,1.90,9.59,152.93
IT,0,2,2.69,7.73,159.86
IT,0,3,3.44,7.47,147.36
LL,0,1,1.55,1.25,169.26
LL,0,2,1.52,0.67,179.43
LL,0,3,1.51,0.87,187.67
SH,0,1,2.11,0.45,157.08
SH,0,2,1.96,3.19,154.34
SH,0,3,1.63,2.47,157.83
SM,0,1,1.90,1.70,164.63
SM,0,2,1.76,2.52,167.05
SM,0,3,1.54,5.67,168.38
SR,0,1,2.45,69.83,97.333
SR,0,2,1.22,1.64,201.08
SR,0,3,1.06,309,194.8
