subject,condition,group,difficulty,saMedianPre,saMedianPost,saMedian,saLogMedian
dl,binocular,normal,1,307.528609913571,236.67599866194095,237.21651194747105,2.375144915712834
dl,binocular,normal,2,298.526917996207,237.02946711742948,269.79150098161347,2.431028264331717
dl,binocular,normal,3,299.207148861703,240.96036320240097,254.69418608592704,2.4060190314197656
ll,binocular,normal,1,212.32009160187198,189.82595042471002,173.83790492628253,2.240144479278658
ll,binocular,normal,2,214.00587626330105,183.94767326412148,183.36082060463048,2.263306543913307
ll,binocular,normal,3,212.32009160187198,185.19484788533904,191.103449937042,2.281268527322392
ah,binocular,normal,1,268.016531751807,224.5480379909645,224.096642705906,2.3504353502199296
ah,binocular,normal,2,267.359385694923,223.583261902191,224.66402336192002,2.3515335321149804
ah,binocular,normal,3,271.645578149935,222.304759022597,234.51587570067753,2.3701722478861718
dd,binocular,normal,1,158.9620925879945,141.90149616703349,152.167308194831,2.1823213581137733
dd,binocular,normal,2,156.55188542584298,142.322665681638,150.6406044484995,2.177942049627576
dd,binocular,normal,3,156.1534719152425,139.6653272491535,153.73374636477502,2.1867692107093846
ez,binocular,normal,1,243.15906409110704,176.4168188046445,188.675098057724,2.275714584373876
ez,binocular,normal,2,232.41415715143,175.959882075929,193.80680232457402,2.287369016059338
ez,binocular,normal,3,236.80763410830053,175.76730057748048,185.950256124596,2.2693967808849465
sm,binocular,normal,1,249.08051690925203,182.32112463312998,172.64435032777,2.237152370918197
sm,binocular,normal,2,248.44765730835547,177.60040451939548,175.02017474432,2.2430881131155695
sm,binocular,normal,3,249.46533693064603,177.59173551290695,179.0216718981925,2.252905608723352
it,binocular,normal,1,339.220329170474,161.21225090893898,192.951832638573,2.285448907815629
it,binocular,normal,2,345.648159082385,163.959775158132,221.188660619007,2.3447628588133864
it,binocular,normal,3,342.20054981178896,162.663051649034,218.99681151812,2.340437791779997
sh,binocular,normal,1,225.08344509812753,156.8116499672055,165.292142223917,2.2182522082604574
sh,binocular,normal,2,224.581362103348,158.015935636015,179.35287321536097,2.2537083384225323
sh,binocular,normal,3,220.04327106065102,156.377332359942,170.040742086396,2.2305529916333797
sr,binocular,normal,1,234.44569526806305,217.020532000193,220.293182916053,2.3430010578963447
sr,binocular,normal,2,234.08050129648103,218.4379619787045,204.2843266591105,2.3102350474617377
sr,binocular,normal,3,233.0506579419595,216.606794116723,209.739951471036,2.3216811631826566
aj,binocular,normal,1,232.26433072217353,188.758930387972,208.96481516094252,2.3200731671262442
aj,binocular,normal,2,236.847068241585,189.90046098717,217.323047826897,2.3371057871270127
aj,binocular,normal,3,231.7593032905105,191.104323737799,218.723408812258,2.3398952657717405
et,strabismus,anomalous,1,312.90172942654146,303.228546702342,259.85231302775946,2.4147265869688517
et,strabismus,anomalous,2,302.691840003743,302.363392694178,274.279997562618,2.4381941369339906
et,strabismus,anomalous,3,292.570924938961,306.40846494929,281.142015992759,2.4489257547153405
co,anisometropia,anomalous,1,230.51668570259199,200.900676294684,199.29051807025002,2.299486636142889
co,anisometropia,anomalous,2,228.635435780117,202.0128062246165,204.03354926504,2.309701584400007
co,anisometropia,anomalous,3,227.6091580575,200.5269290359695,203.67914965403253,2.308946573164783
jz,stereo-weak,anomalous,1,268.6837741786825,179.89884518022552,184.7391193737485,2.266558869069059
jz,stereo-weak,anomalous,2,268.347927709565,184.0166557260655,224.352459190774,2.3509308343198607
jz,stereo-weak,anomalous,3,262.65139548729303,185.58095300043448,223.514584030289,2.3493058655316648
ky,anisometropia,anomalous,1,246.82268874398352,159.086807165892,198.662351472436,2.298115571704822
ky,anisometropia,anomalous,2,241.34719248442002,159.086807165892,186.907570443036,2.2716268922565805
ky,anisometropia,anomalous,3,239.4532477810425,161.051320018281,186.136766420208,2.2698321650508997
mb,anisometropia,anomalous,1,278.570309173606,180.9160173125955,200.916589287757,2.3030157970702354
mb,anisometropia,anomalous,2,278.68625297163396,186.26190178763653,221.992704136015,2.346338701452726
mb,anisometropia,anomalous,3,272.93247675004295,188.15315152148895,204.30668267847,2.310282572226762
mg,stereo-weak,anomalous,1,229.87698785708,185.864583833406,131.9466069882905,2.12039822680155
mg,stereo-weak,anomalous,2,240.540950952118,199.00753627554695,255.54792249118802,2.4074723546542742
mg,stereo-weak,anomalous,3,236.377024070267,200.63199333832853,260.549577839442,2.4158903738292072
tp,strabismus,anomalous,1,423.266544537216,333.282606801081,264.8905145931485,2.423066407018976
tp,strabismus,anomalous,2,413.683124129335,342.895810075927,386.34060809719,2.58697035905253
tp,strabismus,anomalous,3,425.0835482840905,351.03067842432904,496.7350388405175,2.6961247954660905
kp,strabismus,anomalous,1,234.19598040366,185.3521934123305,188.9465534481555,2.276338974410751
kp,strabismus,anomalous,2,241.9721728695805,186.7244434758275,183.203899792481,2.2629347140934515
kp,strabismus,anomalous,3,234.19598040366,183.5808450771665,184.625762786582,2.2662923026236976
bb,strabismus,anomalous,1,411.5134137026285,344.48096707961906,264.635217771643,2.422647639799023
bb,strabismus,anomalous,2,416.450873145584,352.446744278746,382.49917295292096,2.582630500450758
bb,strabismus,anomalous,3,409.65508469962,357.211764505127,398.8477607553749,2.600807158141506
by,anisometropia,anomalous,1,253.0394500863845,162.37000873230352,189.510411066574,2.2776330736421615
by,anisometropia,anomalous,2,245.78957648490552,160.5316611820175,199.30321375664505,2.2995143017387423
by,anisometropia,anomalous,3,250.470779078296,157.2925062746595,195.77816193801448,2.291764246819772
