subject,group,difficulty,ppr,ppr_se,tc,tc_se,asymptote,asymptote_se
bb,anomalous,1,1.79,0.1,5.67,1.27,234.4,6.73
bb,anomalous,2,1.42,0.14,14.65,10.3,370.93,33.9
bb,anomalous,3,1.27,0.1,12.81,11.5,354.39,71.6
by,anomalous,1,1.71,0.1,6.78,1.67,165.02,5.85
by,anomalous,2,2.22,2.21,34.42,45.3,110.7,114
by,anomalous,3,1.69,0.12,11.14,4.02,159.17,12.6
co,anomalous,1,1.13,0.04,12.83,9.77,180.76,8.93
co,anomalous,2,1.31,0.1,2.04,1.17,195.12,5.44
co,anomalous,3,1.21,0.12,8.01,12.1,191.74,23.3
et,anomalous,1,1.95,0.13,1.48,0.34,236.76,5.33
et,anomalous,2,1.43,0.11,1.7,0.72,254.12,5.91
et,anomalous,3,1.17,18300,1380000,1.48E+11,222.64,3460000
jz,anomalous,1,2.62,0.24,5.18,1.2,125.04,13.3
jz,anomalous,2,1.98,1.2,13.53,15.2,142.97,91.5
jz,anomalous,3,1.92,4.77,26.23,96,129.7,327
kp,anomalous,1,1.79,0.12,5.28,1.67,156.02,9.14
kp,anomalous,2,1.61,0.13,3.24,1.09,163.52,5.3
kp,anomalous,3,1.38,0.11,2.97,1.45,174.82,5.17
ky,anomalous,1,2.09,0.13,4.08,0.9,159.56,7.73
ky,anomalous,2,1.34,0.1,3.43,1.84,174.11,5.84
ky,anomalous,3,1.56,0.1,5.06,2.08,163.73,8.73
mb,anomalous,1,1.82,0.13,2.28,0.52,182.78,4.82
mb,anomalous,2,2.33,0.36,2.66,0.64,195.36,5.37
mb,anomalous,3,1.38,0.11,2.93,1.53,196.31,5.77
mg,anomalous,1,2.07,0.16,3.71,0.85,113.14,4.32
mg,anomalous,2,1.88,0.89,16.16,16.3,162.83,81.9
mg,anomalous,3,1.6,2.99,33.08,138,181.24,343
tp,anomalous,1,1.89,0.13,2.73,0.63,233.68,7.09
tp,anomalous,2,1.03,0.07,6.23,48.4,396.75,25.1
tp,anomalous,3,1.33,4.18,45.49,537,390.11,1240
ah,control,1,1.31,0.11,2.85,1.94,207.4,7.18
ah,control,2,1.12,0.1,3.52,5.85,221.7,10
ah,control,3,1.5,0.17,2.75,1.86,223.25,14
aj,control,1,1.4,1.92,11.66,67.8,167.01,246
aj,control,2,2.73,4.77,10.24,18.5,107.36,197
aj,control,3,2.23,7.05,15.19,57.9,118.52,385
dd,control,1,1.55,0.14,0.88,0.39,148.47,3.21
dd,control,2,1.54,1.8,25.79,82.9,109.79,132
dd,control,3,0.95,1.14,31.65,959,161.49,200
dl,control,1,2.35,0.32,2.34,0.86,200.21,14.5
dl,control,2,1.64,0.46,1.31,1,248.71,9.8
dl,control,3,2.06,0.58,1.19,0.64,241.07,8.8
ez,control,1,1.31,0.14,1.46,1.12,187,3.17
ez,control,2,0.97,0.0176,-41528,2.27E+07,197,3
ez,control,3,1.58,0.12,1.88,0.65,177.82,3.25
it,control,1,1.9,0.11,9.59,2.37,152.93,9.66
it,control,2,2.69,0.14,7.73,1.06,159.86,7.84
it,control,3,3.44,0.19,7.47,0.79,147.36,7.94
ll,control,1,1.55,0.14,1.25,0.43,169.26,2.56
ll,control,2,1.52,0.15,0.67,0.33,179.43,2.75
ll,control,3,1.51,0.14,0.87,0.34,187.67,2.89
sh,control,1,2.11,0.16,0.45,0.2,157.08,3.01
sh,control,2,1.96,0.14,3.19,0.78,154.34,5.67
sh,control,3,1.63,0.14,2.47,1.07,157.83,7.26
sm,control,1,1.9,0.16,1.7,0.43,164.63,2.94
sm,control,2,1.76,0.14,2.52,0.61,167.05,3.31
sm,control,3,1.54,0.11,5.67,1.79,168.38,4.9
sr,control,1,2.45,30.7,69.83,457,97.333,1.22E+03
sr,control,2,1.22,0.08,1.64,1.31,201.08,3.4
sr,control,3,1.06,0.035,309,1.61E+03,194.8,6.24
